domain,direct_dns,crtsh,whois,ssl_inspection,ipwhois,port_scan,tech_fingerprint,duckduckgo,bing,google,wikidata,theharvester,recon_ng,hunter,phonebook_cz,github_code,github_repos,hibp,hackertarget,dehashed,brave,bufferoverun,censys,projectdiscovery,rapiddns,rocketreach,subdomaincenter,subdomainfinderc99,thc,threatminer,urlscan,windvane,direct_dns__status,crtsh__status,whois__status,ssl_inspection__status,ipwhois__status,port_scan__status,tech_fingerprint__status,duckduckgo__status,bing__status,google__status,wikidata__status,theharvester__status,recon_ng__status,hunter__status,phonebook_cz__status,github_code__status,github_repos__status,hibp__status,hackertarget__status,dehashed__status,brave__status,bufferoverun__status,censys__status,projectdiscovery__status,rapiddns__status,rocketreach__status,subdomaincenter__status,subdomainfinderc99__status,thc__status,threatminer__status,urlscan__status,windvane__status
oracle.com,199,0,1,1,1,2,2,0,0,,0,0,0,0,0,0,13,0,0,0,2,0,,,120,0,,,,0,6,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
ibm.com,194,0,1,1,1,2,2,0,0,,0,0,0,0,0,0,18,0,0,0,2,0,,,106,0,,,,0,24,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
intel.com,188,0,1,1,1,2,1,0,0,,0,0,0,0,0,0,15,0,0,0,2,0,,,105,0,,,,0,17,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
amd.com,157,0,1,1,1,2,3,0,0,,0,0,0,0,0,0,5,0,0,0,2,0,,,93,0,,,,0,12,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
nvidia.com,198,0,1,1,1,2,4,0,0,,0,0,0,0,0,0,15,0,0,0,2,0,,,95,0,,,,0,10,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,error,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
cisco.com,277,0,1,1,1,2,4,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,135,0,,,,0,18,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
zoom.us,80,0,1,1,1,12,6,0,0,,0,0,0,0,0,0,11,0,0,0,2,0,,,5,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
slack.com,105,0,1,1,1,2,4,0,0,,0,0,0,0,0,0,15,0,0,0,2,0,,,9,0,,,,0,0,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
atlassian.com,159,0,1,1,1,2,5,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,,,28,0,,,,0,8,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,error,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
shopify.com,223,0,1,1,1,4,4,0,0,,0,0,0,0,0,0,17,0,0,0,2,0,,,100,0,,,,0,1,,ok,ok,ok,ok,ok,ok,ok,ok,ok,not_tested_in_saved_benchmark,ok,ok,ok,error,ok,error,ok,error,ok,ok,ok,error,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,ok,ok,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,not_tested_in_saved_benchmark,error,ok,not_tested_in_saved_benchmark
